number_of_items	drift	method	average_cost	standard_error	number_of_source_files
1	0.01	SAA	96.48334875885801	3.181526952268967	100
1	0.01	Smoothing	86.87962883837291	3.349832512575941	100
1	0.01	Intersection	113.02420288332893	4.204459142813899	100
1	0.01	Weighted	86.62229002705963	3.328837896298026	100
1	0.05	SAA	193.8484120277828	4.692928925010961	100
1	0.05	Smoothing	114.53215366551808	3.43599170083303	100
1	0.05	Intersection	133.09786906093134	4.42498734623377	100
1	0.05	Weighted	108.58768047898212	3.448990443018993	100
1	0.1	SAA	294.47578502022395	7.538231280251986	100
1	0.1	Smoothing	152.75141062232117	3.8044583807198533	100
1	0.1	Intersection	160.95194337189668	4.451237379708861	100
1	0.1	Weighted	139.60868993205702	4.885545264509029	100
2	0.01	SAA	169.88386408191627	3.826834574558923	100
2	0.01	Smoothing	153.42884527940737	4.0785763169607625	100
2	0.01	Intersection	261.9741420048411	7.961970482248081	100
2	0.01	Weighted	154.0762522934952	4.142483261748208	100
2	0.05	SAA	354.20499637743234	5.9155676488409155	100
2	0.05	Smoothing	211.97362126213127	4.350298030409722	100
2	0.05	Intersection	295.3346258651745	9.199654373195106	100
2	0.05	Weighted	203.5623229228533	5.64089390724193	100
2	0.1	SAA	544.9638855488826	10.059601860656295	100
2	0.1	Smoothing	280.6526481926504	4.441451445727424	100
2	0.1	Intersection	350.7179047590553	9.80329817798298	100
2	0.1	Weighted	264.1272041339473	9.731999524345557	100
3	0.01	SAA	221.7186043730544	3.7935680065855704	100
3	0.01	Smoothing	194.529937660685	4.162182634770426	100
3	0.01	Intersection	354.2863644062524	9.7683342680513	100
3	0.01	Weighted	193.48678675243121	4.084234280303717	100
3	0.05	SAA	488.8807134600097	6.792375101434351	100
3	0.05	Smoothing	279.7606462730341	4.4504395218417825	100
3	0.05	Intersection	396.7264476871841	10.806699659591258	100
3	0.05	Weighted	268.65014963238104	7.6493557592244255	100
3	0.1	SAA	740.4756835659803	10.73973878902195	100
3	0.1	Smoothing	389.0075507499622	4.8182869685732665	100
3	0.1	Intersection	456.2593179066487	11.34472568599959	100
3	0.1	Weighted	348.59636156891503	7.433638335136853	100
4	0.01	SAA	268.04948980933005	3.9477468579462474	100
4	0.01	Smoothing	229.2660132513264	4.31891883829228	100
4	0.01	Intersection	409.5632803342062	10.592323340737444	100
4	0.01	Weighted	228.4959690776725	4.240391555173305	100
4	0.05	SAA	611.0033790062367	7.5166583715820705	100
4	0.05	Smoothing	338.18237494021554	4.589292616068666	100
4	0.05	Intersection	456.31998859172364	11.299351668986327	100
4	0.05	Weighted	321.98058133746855	8.442182363266628	100
