horizon	method	drift_exponent	worst_case_efficiency	worst_case_p	worst_case_drift_ratio
10	Triangular	0.0	0.9999999999999964	2.8	0.9659672580093828
10	Triangular	0.0010000000000000002	0.9999597914726142	1.0	0.9659672580093828
10	Triangular	0.0016681005372000597	0.9998813506132689	1.0	0.9659672580093828
10	Triangular	0.002782559402207127	0.9996305941352338	1.0	0.9659672580093828
10	Triangular	0.004641588833612776	0.9987772384232743	1.0	0.9659672580093828
10	Triangular	0.007742636826811269	0.9952542981403733	1.0	0.9659672580093828
10	Triangular	0.012915496650148841	0.9762164094505079	1.0	0.9659672580093828
10	Triangular	0.02154434690031884	0.9754400719631852	5.0	0.9659672580093828
10	Triangular	0.03593813663804627	0.9745264158077973	2.4	0.9330927435461669
10	Triangular	0.05994842503189412	0.975894972598844	3.8	0.9013370389517429
10	Triangular	0.10000000000000002	0.9781290910345478	3.6	0.8410310505352601
10	Triangular	0.2	0.983084793310747	2.0	0.6832607387157399
10	Triangular	0.3	0.9873496633565847	1.0	0.48329302385717493
10	Triangular	0.4	0.9909658435562969	1.6	0.4509572135676145
10	Triangular	0.5	0.9937721201484486	1.0	0.3081213588714004
10	Triangular	0.6	0.9961779888429768	1.2	0.287505804094488
10	Triangular	0.7	0.9975830762577153	1.0	0.2179444753752986
10	Triangular	0.8	0.9979898380695158	1.0	0.536195677056882
10	Triangular	0.9	0.9982642062161684	1.0	0.5003202953826005
10	Triangular	1.0	0.998402452647587	1.0	0.318977021546632
10	Triangular	1.1	0.9982750846594152	1.1	0.4356099030694608
10	Triangular	1.2	0.9985015479473501	1.2	0.12097810206889008
10	Triangular	1.3	0.9977684750774494	1.3	0.07712906117627998
10	Triangular	1.4	0.9968609377002788	1.4	0.07196856730011524
10	Triangular	1.5	0.9957170884189082	1.5	0.06715334791115145
10	Triangular	1.6	0.994254867146842	1.6	0.06266030164072657
10	Triangular	1.7	0.9929288596382301	1.7	0.058467872769375935
10	Triangular	1.8	0.9914676559277714	2.2800000000000002	0.07450414773728911
10	Triangular	1.9	0.9897137893550844	2.365	0.06951927961775602
10	Triangular	2.0	0.9879105844918908	2.0	0.04917329645779017
10	Triangular	2.1	0.9862312387542129	2.9699999999999998	0.07196856730011524
10	Triangular	2.2	0.9842931250447784	2.2	0.04432171342476088
10	Triangular	2.3	0.9824878466112319	2.705	0.052699259315756544
10	Triangular	2.4	0.98058134410202	2.4	0.039948801939541694
10	Triangular	2.5	0.9787080264362858	3.25	0.0545559478116852
10	Triangular	2.6	0.9768904293303098	2.8400000000000003	0.041356269178177106
10	Triangular	2.7	0.9748341159756727	2.815	0.03727593720314938
10	Triangular	2.8	0.9730497415961459	2.8	0.03359818286283783
10	Triangular	2.9	0.971461396629182	3.11	0.0360073348498562
10	Triangular	3.0	0.9696901179798725	3.0999999999999996	0.0360073348498562
10	Triangular	3.1	0.9677862087034564	3.29	0.0360073348498562
10	Triangular	3.2	0.9660865151347019	4.46	0.04917329645779017
10	Triangular	3.3	0.9641917349492544	3.9799999999999995	0.039948801939541694
10	Triangular	3.4	0.9623755671870083	3.8	0.0360073348498562
10	Triangular	3.5	0.9604860943380968	3.725	0.0324547445741133
10	Triangular	3.6	0.9586990380805731	3.74	0.03028328665574944
10	Triangular	3.7	0.9568865017845715	4.025	0.03135022062565116
10	Triangular	3.8	0.9551621417506686	4.7	0.0360073348498562
10	Triangular	3.9	0.9533753257360957	4.12	0.02825711502920827
10	Triangular	4.0	0.9516956568266438	4.65	0.03135022062565116
10	Triangular	4.1	0.9500132127861326	4.1	0.02460239820869775
10	Triangular	4.2	0.9482980361397796	4.2	0.02376511113811075
10	Triangular	4.3	0.9466680240283889	4.475	0.02460239820869775
10	Triangular	4.4	0.9450266779205342	4.460000000000001	0.022956319242369086
10	Triangular	4.5	0.9434507801634704	4.75	0.02376511113811075
10	Triangular	4.6	0.9418811539021132	4.619999999999999	0.021420374903583835
10	Triangular	4.7	0.94037032615166	4.79	0.021420374903583835
10	Triangular	4.8	0.9388259531502864	4.87	0.020691380811147905
10	Triangular	4.9	0.9373190863720976	4.945	0.019987196386572495
10	Triangular	5.0	0.9359123885464671	5.0	0.019306977288832503
10	Windowing	0.0	0.9999999999999982	1.0	0.017402093740624836
10	Windowing	0.0010000000000000002	0.9995738464741784	1.0	0.9659672580093828
10	Windowing	0.0016681005372000597	0.99873874323974	1.0	0.9659672580093828
10	Windowing	0.002782559402207127	0.9960974213107149	1.0	0.9659672580093828
10	Windowing	0.004641588833612776	0.9869162491689797	1.0	0.9659672580093828
10	Windowing	0.007742636826811269	0.9490392616512048	1.0	0.9659672580093828
10	Windowing	0.012915496650148841	0.8138394645609122	1.0	0.9659672580093828
10	Windowing	0.02154434690031884	0.820008098334843	5.0	0.9659672580093828
10	Windowing	0.03593813663804627	0.8152249193982619	2.4	0.9330927435461669
